,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
1,0,999,0,0,0,0,0,0,0,1
2,0,0,994,1,2,1,2,0,0,0
3,0,0,2,997,0,0,1,0,0,0
4,0,0,4,0,996,0,0,0,0,0
5,0,0,1,0,0,997,0,1,0,1
6,0,1,0,0,0,0,998,0,0,1
7,0,0,0,0,0,1,1,998,0,0
8,0,0,1,0,0,0,0,0,997,2
9,0,0,0,0,1,0,2,0,1,996
