epoch,train_loss,train_acc,val_acc,val_macro_f1,lr
1,0.36679550018820745,0.9292181069958848,0.9922222222222222,0.9922264475107964,0.00033640355165179487
2,0.20264186751204755,0.9860905349794239,0.9948148148148148,0.9948150874727885,0.0004436509198325646
3,0.1866069137633092,0.9905967078189301,0.9964814814814815,0.9964860361252457,0.0006159581266058831
4,0.17910928064903606,0.9918312757201646,0.9957407407407407,0.9957428607596979,0.0008440324396728634
5,0.17765189922395558,0.992880658436214,0.9972222222222222,0.9972203305186067,0.0011155735404613841
6,0.17568628289572005,0.9929629629629629,0.9968518518518519,0.9968515365223966,0.0014159368949149416
7,0.17299204878110455,0.9933539094650206,0.9975925925925926,0.9975941207943223,0.0017289235506066378
8,0.17116984232462973,0.9941975308641975,0.9966666666666667,0.9966681911299323,0.0020376537654819603
9,0.16836467775052466,0.9944032921810699,0.9962962962962963,0.9962951922120372,0.002325477352394712
10,0.16415343767821544,0.9950411522633745,0.9975925925925926,0.9975938144445655,0.002576871643474104
11,0.1624257262670454,0.9957201646090535,0.9985185185185185,0.9985192847342835,0.002778278646038246
12,0.15909159101331186,0.9957201646090535,0.9979629629629629,0.9979629556326768,0.0029188362412413942
13,0.15763218630733805,0.9958024691358025,0.9977777777777778,0.9977780833348273,0.002990963991043505
14,0.15494756642683052,0.9969341563786008,0.997037037037037,0.9970394778343208,0.0029996806219548693
15,0.1545494953963001,0.9964814814814815,0.9975925925925926,0.9975957932826301,0.0029971464325367955
16,0.15447441039261994,0.9963374485596708,0.9979629629629629,0.9979646442253579,0.0029920889802128687
17,0.1538449640970662,0.9965843621399177,0.9977777777777778,0.997779759125511,0.0029845167929918245
18,0.1527427762869454,0.9966255144032922,0.9975925925925926,0.9975933534038828,0.0029744426392943266
19,0.15151658567381493,0.9970576131687243,0.9981481481481481,0.9981487561809147,0.0029618835064225226
20,0.15104384073259408,0.9968106995884773,0.9977777777777778,0.9977785375768945,0.002946860571915611
21,0.15085363366966875,0.9968518518518519,0.9981481481481481,0.998149222875591,0.0029293991678397166
