model,best_epoch,test_accuracy,test_macro_f1,confusion_matrix_png,confusion_matrix_csv,classification_report_txt,history_csv,best_model_pt,elapsed_sec
lenet,11,0.9968888888888889,0.99688994111495,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\lenet\lenet_confusion_matrix.png,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\lenet\lenet_confusion_matrix.csv,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\lenet\lenet_classification_report.txt,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\lenet\lenet_history.csv,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\lenet\lenet_best.pt,1498.7377774715424
custom,23,0.9957777777777778,0.9957819001101931,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\custom\custom_confusion_matrix.png,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\custom\custom_confusion_matrix.csv,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\custom\custom_classification_report.txt,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\custom\custom_history.csv,C:\Users\ajumaa\source\repos\DL\ahdd_results_best\custom\custom_best.pt,17112.04821705818
